product_name,price,supplier,address,rating
AUTOMATIC REELS PICK AND DROP MACHINE WITH BOX CLOSING SYSTEM,"₹ 12,00,000",Soham Industrial Machinery Limited,Surat,4.3
Customised Machines Equipment - Labh Group,"₹ 15,00,000",Labh Projects Private Limited ( Labh Group of Companies ),"Bodakdev, Ahmedabad",4.0
Single Station Bi Axial Machine,"₹ 12,50,000",Kuldevi Industries,"Odhav, Ahmedabad",4.1
Automatic Jerry Can Blow Molding Machine,"₹ 23,75,000",Blow Engineering,"Sakinaka, Mumbai",4.6
Ultrasonic Hot Fixing Machine,"₹ 30,000",J P Import & Export,Surat,4.3
"Mannual Brush Machine, Single Phase, 100 Dojon Daily","₹ 1,65,000",BMT Tools,Agra,4.6
Ultrasonic Hot Fixing Machine,"₹ 30,500",Matruchhaya Technology,Surat,4.9
"Ultrasonic Hot Fixing Machine, 100 W","₹ 1,25,000",AS Engineering,"Udhna, Surat",4.4
Brush Making Machine,"₹ 8,00,000",M.K.Industries,"Katargam, Surat",4.4
Manual Standing Mop Making Machine,"₹ 4,500",AR Star Bazaar,"Chikhali, Pune",4.4
"Shampoo Making Machine, Capacity: upto 100 Liters","₹ 80,000",Samson Engineering,"Tirumullaivoyal, Chennai",4.3
"Aluminium Solar Panel Frame Dismantling Machine, Automation Grade: Fully Automatic","₹ 15,50,101",Rajesh Export & Import Co.,Hisar,4.7
VOC Concentrator Rotor,"₹ 99,000",Zenco Industries,"Panvel City, Raigad",4.2
Industrial Automation High Speed Bar Feeder Machine,"₹ 9,99,999",Iyalia Engineering Solutions India Private Limited,Coimbatore,4.2
Side Seaming Machine,"₹ 53,568",Atlas Machines (India),Mumbai,4.3
Double Head Three Hoppers Multi Function Forming Machine,"₹ 10,00,000",Capital Industries,"Ramol, Ahmedabad",4.3
Book Joint Forming Machine,"₹ 2,75,000",M P Pathak,Ahmedabad,4.2
"Rod Handle Making Machine, Capacity: 40 pieces","₹ 6,50,000",Shree Enterprises,"Navi Mumbai, Dist. Thane",4.1
Intimatemachinery Acrylic Doweling Machine,"₹ 2,85,000",Intimate Machine Tools,Rajkot,4.2
"Teresstic T Series, Packaging Size: 20 Ltr",₹ 999,Aero Global Services,New Delhi,4.0
"Semi-automatic Wedger Pumpkin, Watermelon, Melon","₹ 72,000",Multidimensions,"Millenium Business Park, Navi Mumbai, Dist. Thane",4.0
All Type Industrial Machinery,"₹ 10,000",Gajanand Engineering Works,Jodhpur,4.4
Paperless Hotfix Pallu Skirt Saree Machine,,AP Impex,Surat,4.1
"1800 Pph AUTOMATIC SANITARY PAD MAKING MACHINE, 2KW, Machine Capacity: 30 Ppm","₹ 8,50,000",Mechanical Systems,Ambala,4.4
Automatic Block Moulding Thermocol Router Machine for Custom Block Size,"₹ 25,25,000",Solar CNC Automation,Vadodara,4.4
1 shoe lamination machine,"₹ 85,000",Bio X,"Santacruz West, Mumbai",4.5
Centerless Grinding Bar Feeder,"₹ 4,00,000",Riat Grinders,Ludhiana,3.5
Shrink Fitting Machine,"₹ 1,00,000",Auto Controls,"Mira, Thane",4.1
