product_name,price,supplier,address,rating,city,price_range
AUTOMATIC REELS PICK AND DROP MACHINE WITH BOX CLOSING SYSTEM,1200000,Soham Industrial Machinery Limited,Surat,4.3,Surat,High
Customised Machines Equipment - Labh Group,1500000,Labh Projects Private Limited ( Labh Group of Companies ),"Bodakdev, Ahmedabad",4.0,Ahmedabad,High
Single Station Bi Axial Machine,1250000,Kuldevi Industries,"Odhav, Ahmedabad",4.1,Ahmedabad,High
Automatic Jerry Can Blow Molding Machine,2375000,Blow Engineering,"Sakinaka, Mumbai",4.6,Mumbai,High
Ultrasonic Hot Fixing Machine,30000,J P Import & Export,Surat,4.3,Surat,Low
"Mannual Brush Machine, Single Phase, 100 Dojon Daily",165000,BMT Tools,Agra,4.6,Agra,Lower-Mid
Ultrasonic Hot Fixing Machine,30500,Matruchhaya Technology,Surat,4.9,Surat,Low
"Ultrasonic Hot Fixing Machine, 100 W",125000,AS Engineering,"Udhna, Surat",4.4,Surat,Lower-Mid
Brush Making Machine,800000,M.K.Industries,"Katargam, Surat",4.4,Surat,Upper-Mid
Manual Standing Mop Making Machine,4500,AR Star Bazaar,"Chikhali, Pune",4.4,Pune,Low
"Shampoo Making Machine, Capacity: upto 100 Liters",80000,Samson Engineering,"Tirumullaivoyal, Chennai",4.3,Chennai,Lower-Mid
"Aluminium Solar Panel Frame Dismantling Machine, Automation Grade: Fully Automatic",1550101,Rajesh Export & Import Co.,Hisar,4.7,Hisar,High
VOC Concentrator Rotor,99000,Zenco Industries,"Panvel City, Raigad",4.2,Raigad,Lower-Mid
Industrial Automation High Speed Bar Feeder Machine,999999,Iyalia Engineering Solutions India Private Limited,Coimbatore,4.2,Coimbatore,Upper-Mid
Side Seaming Machine,53568,Atlas Machines (India),Mumbai,4.3,Mumbai,Lower-Mid
Double Head Three Hoppers Multi Function Forming Machine,1000000,Capital Industries,"Ramol, Ahmedabad",4.3,Ahmedabad,Upper-Mid
Book Joint Forming Machine,275000,M P Pathak,Ahmedabad,4.2,Ahmedabad,Mid
"Rod Handle Making Machine, Capacity: 40 pieces",650000,Shree Enterprises,"Navi Mumbai, Dist. Thane",4.1,Dist. Thane,Upper-Mid
Intimatemachinery Acrylic Doweling Machine,285000,Intimate Machine Tools,Rajkot,4.2,Rajkot,Mid
"Teresstic T Series, Packaging Size: 20 Ltr",999,Aero Global Services,New Delhi,4.0,New Delhi,Low
"Semi-automatic Wedger Pumpkin, Watermelon, Melon",72000,Multidimensions,"Millenium Business Park, Navi Mumbai, Dist. Thane",4.0,Dist. Thane,Lower-Mid
All Type Industrial Machinery,10000,Gajanand Engineering Works,Jodhpur,4.4,Jodhpur,Low
Paperless Hotfix Pallu Skirt Saree Machine,611691,AP Impex,Surat,4.1,Surat,Upper-Mid
"1800 Pph AUTOMATIC SANITARY PAD MAKING MACHINE, 2KW, Machine Capacity: 30 Ppm",850000,Mechanical Systems,Ambala,4.4,Ambala,Upper-Mid
Automatic Block Moulding Thermocol Router Machine for Custom Block Size,2525000,Solar CNC Automation,Vadodara,4.4,Vadodara,High
1 shoe lamination machine,85000,Bio X,"Santacruz West, Mumbai",4.5,Mumbai,Lower-Mid
Centerless Grinding Bar Feeder,400000,Riat Grinders,Ludhiana,3.5,Ludhiana,Mid
Shrink Fitting Machine,100000,Auto Controls,"Mira, Thane",4.1,Thane,Lower-Mid
